title,channel_url,channel_id,publishedAt,statistics,head_pic,keywords,videos
PHLEARN,https://www.youtube.com/@phlearn,@phlearn,2011-10-11T15:26:09Z,"{'viewCount': '155158966', 'subscriberCount': '2170000', 'videoCount': '962'}",https://yt3.ggpht.com/2uLKFrKOUNAeT2s2m16qoBz2QDjHn2ku_sRUAB2ksUu57yXCMZjGaR5VNH7FkaVzWcP7PCfExA=s240-c-k-c0x00ffffff-no-rj,Phlearn Photoshop Photography AaronNace Adobe Tutorials Lightroom Tips and Tricks How To Learn Free,"[{'title': 'Adobe Firefly: Intro to AI Video Generation', 'link': 'https://www.youtube.com/watch?v=-SoqQK8WAQw'}, {'title': 'Adobe Camera RAW: Explore the New Remove Reflections Tool', 'link': 'https://www.youtube.com/watch?v=v_W8VxrjetA'}, {'title': 'Photoshop Beta: New Hue Saturation Tool', 'link': 'https://www.youtube.com/watch?v=KvPtgPTxm1s'}]"
Graeme Williams - Photographic Conversations,https://www.youtube.com/@PhotoConversations,@photoconversations,2014-01-17T16:18:34Z,"{'viewCount': '715910', 'subscriberCount': '11000', 'videoCount': '165'}",https://yt3.ggpht.com/lEI1xiL1sLKzbfOrYjs1pHwzbw-fI5N4C6xM5EhJ3iaWYJIJ8R9nCDf-pF-7Q3mrPam7O5vByg=s240-c-k-c0x00ffffff-no-rj,"Photography Education Information ""Helpful tips"" Entertainment Photographic Photojournalism Reportage ""Landscape photography"" ""Street photography"" ""War photography"" ""portrait photography"" Composition","[{'title': ""Looking back at Lisa Barlow's 80s essay"", 'link': 'https://www.youtube.com/watch?v=GAjJtPNX7TE'}, {'title': 'Meatyard -  A surrealist who influenced generations', 'link': 'https://www.youtube.com/watch?v=vCPuYJtck4s'}, {'title': 'Bryan Schutmaat and the American West', 'link': 'https://www.youtube.com/watch?v=9mw0-64sL4s'}]"
Jamie Windsor,https://www.youtube.com/@jamiewindsor,@jamiewindsor,2006-08-21T02:13:39Z,"{'viewCount': '24292051', 'subscriberCount': '533000', 'videoCount': '84'}",https://yt3.ggpht.com/vXg2NlrjN5UqGVbmUMJcBLokp_LvcMECgRy4eLCDkzRGBfU3R8AkiDTc2xcBkEY3M4Xysp_opw=s240-c-k-c0x00ffffff-no-rj,,"[{'title': 'The SECRETS to MEMORABLE Portraits  |  Full Harry Borden Interview', 'link': 'https://www.youtube.com/watch?v=y8CyAL-P0O8'}, {'title': 'Portrait tips from Harry Borden', 'link': 'https://www.youtube.com/watch?v=9JVyyx3VrNk'}, {'title': 'Portrait tips from Harry Borden', 'link': 'https://www.youtube.com/watch?v=0X6sDeUkzgk'}]"
iPhone Photography School,https://www.youtube.com/@iPhone_Photography_School,@iphone_photography_school,2012-07-15T13:50:13Z,"{'viewCount': '55130241', 'subscriberCount': '853000', 'videoCount': '1766'}",https://yt3.ggpht.com/adBWg9RX0-hE7QIj1EhE8-R7UYmQ8TDXa40TOjMMmy91MOhva9ZUj3H5YhHoX-5wjnQ0-D_594o=s240-c-k-c0x00ffffff-no-rj,"""iphone photography"" ""iphone photography school"" ""iphone photo academy"" ""photography iphone"" ""iphone photography tutorials for beginners"" ""iphone academy"" ""iphone photo"" ""photography with iphone"" ""iphone photography tips"" ""emil pakarklis"" ""iphone photography tutorial"" ""iphone photographer"" ""photo iphone"" ""learn iphone photography"" ""photography on iphone"" iphonephotography iphoneography photography apple ""iphone 7"" photos reflection iphone tutorial camera ""iphone 8"" photo tips ""iphone x"" tricks","[{'title': 'Did You Know This iPhone Photo Trick? 🤯 #iphonecamera #iphonetrick #hacks #shorts', 'link': 'https://www.youtube.com/watch?v=7U-ErZNTG7g'}, {'title': 'Epic Video Editing Trick! 😍🎥 #videoediting #capcut #videoeffects #shorts', 'link': 'https://www.youtube.com/watch?v=ErwiEolXhmc'}, {'title': 'No More BORING Beach Photos ❌🏝️ #iphonephotography #photoideas #beachphotography #shorts', 'link': 'https://www.youtube.com/watch?v=8w8RqNjd27c'}]"
PhotographyTV,https://www.youtube.com/@PhotographyTVcom,@photographytvcom,2016-05-10T03:23:09Z,"{'viewCount': '1306113', 'subscriberCount': '14700', 'videoCount': '86'}",https://yt3.ggpht.com/ytc/AIdro_mojugPq6Mb7jmD6noe49xsb3tGAgBe0fR0BGtEKKDKPdo=s240-c-k-c0x00ffffff-no-rj,"""photography tutorials"" ""travel photography"" ""how to photography"" ""starting a youtube channel"" ""photography gear"" ""landscape photography""","[{'title': 'Art Wolfe Interview - Travel Photography', 'link': 'https://www.youtube.com/watch?v=eXwVJpfq2jQ'}, {'title': 'Quit Your Job to Become a Full Time Photographer - Interview', 'link': 'https://www.youtube.com/watch?v=OecrYAPbC0I'}, {'title': 'Wildlife Photography Interview with Jake Davis', 'link': 'https://www.youtube.com/watch?v=E17GFWZHLNY'}]"
SLR Lounge | Photography Tutorials,https://www.youtube.com/@slrlounge,@slrlounge,2010-09-30T00:01:33Z,"{'viewCount': '41754354', 'subscriberCount': '508000', 'videoCount': '1306'}",https://yt3.ggpht.com/ytc/AIdro_m5nzQ519a9h_pCyZOLfUK2zWFV-j6nbNMloj5r2EwjRg=s240-c-k-c0x00ffffff-no-rj,"photography ""photography tutorials"" lightroom ""lightroom tutorials"" photoshop ""photoshop tutorials""","[{'title': 'The No. 1 Marketing Mistake New Business Owners Make #shorts', 'link': 'https://www.youtube.com/watch?v=Fq6-8BG4VKY'}, {'title': 'Stop Buying Gear & Start Building a Business! #shorts', 'link': 'https://www.youtube.com/watch?v=-SoHx-vze4w'}, {'title': 'Real Business, Real Result: A Mentorship That Actually Works #shorts', 'link': 'https://www.youtube.com/watch?v=aiyZ2QUOWKU'}]"
Camera Talk,https://www.youtube.com/@CameraTalkVideos,@cameratalkvideos,2023-02-26T14:21:18.157363Z,"{'viewCount': '108360', 'subscriberCount': '1120', 'videoCount': '116'}",https://yt3.ggpht.com/ds1dqPqFPiMP7TzgcagWywba-YSAqqr_mhnf9mEB-W_7SF6A5aRqPONRntyIy7mPUBy8mMYQyNM=s240-c-k-c0x00ffffff-no-rj,"photography cameras film ""digital photography"" ""film photography"" composition art entertainment ""camera talk"" ""classic cameras"" ""folding cameras""","[{'title': ""Nikon FE: As Good as the FM? Some Say, 'No' - Camera Talk"", 'link': 'https://www.youtube.com/watch?v=jwafkIOpXyA'}, {'title': 'Kilfitt Makro Kilar: Optical Excellence from Lichtenstein - Camera Talk', 'link': 'https://www.youtube.com/watch?v=FG508OrLoFk'}, {'title': 'Pentax SLRs: Do You Know About This Undocumented Feature? - Camera Talk', 'link': 'https://www.youtube.com/watch?v=NeXreKsfTHM'}]"
Shutterbug 101,https://www.youtube.com/@Shutterbug101,@shutterbug101,2019-04-29T15:39:00Z,"{'viewCount': '2646485', 'subscriberCount': '20200', 'videoCount': '199'}",https://yt3.ggpht.com/ytc/AIdro_kDI4f4GmlcbxqWT2wEUxKZC4Lh3HqG9prAosAV3DVZFg=s240-c-k-c0x00ffffff-no-rj,Photography; Canon; Nikon; Sony; Panasonic; Olympus; camera; lens; tutorial;,"[{'title': 'Vlog #28 The Search for the White Raven', 'link': 'https://www.youtube.com/watch?v=K224yALcQFk'}, {'title': 'Full Menu Walkthrough: Sony (Old & New)', 'link': 'https://www.youtube.com/watch?v=Vf6gyiBqbPE'}, {'title': 'Goodbye, Amazon!', 'link': 'https://www.youtube.com/watch?v=P8WgUorlL4s'}]"
Matthew Littlewood,https://www.youtube.com/@matthewlittlewood,@matthewlittlewood,2016-01-05T09:03:21Z,"{'viewCount': '132166', 'subscriberCount': '3660', 'videoCount': '75'}",https://yt3.ggpht.com/H9d3QDnvtS5WO-TDqAwk_b6FxVd9GeQjj6SChhADi8x-QUeoWlVvTE_NaP9V-EN-g8oQUspe1Q=s240-c-k-c0x00ffffff-no-rj,"photography ""photography tutorials"" ""travel photography"" ""travel photography tutorials"" ""adventure photography"" ""travel videography"" ""videography tutorials""","[{'title': 'Insta360 X4 vs X5 Comparison Video | Snowboarding, Kayaking, Motorbiking & Low Light Test', 'link': 'https://www.youtube.com/watch?v=G9v_2Ktx0do'}, {'title': 'Photo editing in SECONDS with Stackable Ai Presets + Make your own!', 'link': 'https://www.youtube.com/watch?v=Z75SLHYRO_I'}, {'title': 'Testing Ace Pro 2 In Low Light - Does It Live Up To The Hype?', 'link': 'https://www.youtube.com/watch?v=es2xcn0dUHY'}]"
Photoshop Training Channel,https://www.youtube.com/channel/UCdQ_ZkYaMe6qPoueUyPQgpQ,@photoshoptrainingchannel,2012-07-13T20:26:32Z,"{'viewCount': '141840206', 'subscriberCount': '2140000', 'videoCount': '592'}",https://yt3.ggpht.com/ytc/AIdro_nJkpjQxa9ZRh3P1QQ2AbpYcjBqLw8-9JykO64A03MhxQ=s240-c-k-c0x00ffffff-no-rj,"""Photoshop tutorials"" ""Photoshop Tutorial"" ""Photoshop training"" photography ""graphic design"" Photoshop ""Learn Photoshop"" ""Photoshop Effects"" PSD PTC PTCvids JRfromPTC Adobe ""Jesus Ramirez"" ""Photoshop for Beginners""","[{'title': '5 Hidden Photoshop Features Only Pros Know', 'link': 'https://www.youtube.com/watch?v=_GaCm912EtE'}, {'title': '🔥Turn your Photoshop Composite into video with the Adobe Firefly mobile app', 'link': 'https://www.youtube.com/watch?v=l4DiIYT3nSQ'}, {'title': 'Top 6 Photoshop 2025 NEW Features [April Release]', 'link': 'https://www.youtube.com/watch?v=XWYDlgShm_Y'}]"
