channel_id,channel_url
phlearn,https://www.youtube.com/@phlearn
PhotoConversations,https://www.youtube.com/@PhotoConversations
jamiewindsor,https://www.youtube.com/@jamiewindsor
iPhone_Photography_School,https://www.youtube.com/@iPhone_Photography_School
PhotographyTVcom,https://www.youtube.com/@PhotographyTVcom
slrlounge,https://www.youtube.com/@slrlounge
CameraTalkVideos,https://www.youtube.com/@CameraTalkVideos
Shutterbug101,https://www.youtube.com/@Shutterbug101
matthewlittlewood,https://www.youtube.com/@matthewlittlewood
PhotoshopTrainingChannel,https://www.youtube.com/channel/UCdQ_ZkYaMe6qPoueUyPQgpQ
thisisframes,https://www.youtube.com/channel/UCVazokunXdsU_KhZZb7T9kQ
SteveGerrardPhotography,https://www.youtube.com/channel/UCo__OuKkUtcYyQ3pVCilbWw
PhotoshopTamilan,https://www.youtube.com/channel/UCsZiKQfIqf1eMxDs3V8ST8w
linusandhiscamera,https://www.youtube.com/channel/UC3UrTubzntGwzXMFvuGxh_Q
brooklynfilmcamera,https://www.youtube.com/channel/UCgttTP9m9ZaBIB-FHVsjofA
FilmPhotographyProject,https://www.youtube.com/channel/UCuIEnDthlBBWXhxoZxIXlUg
NicosPhotographyShow,https://www.youtube.com/channel/UCkcuvqBAZPgTJ9evx9wkzvA
FilmPhotography-TaylorJackson,https://www.youtube.com/channel/UCNzx6d-H0a3Pzd7jTgkFppQ
FilmPhotographyChannel,https://www.youtube.com/channel/UCuu1PNmOFTb8i7NOg1fZyFQ
FilmCameras,https://www.youtube.com/channel/UCs72j2OXedJfEvoyblDUaTw
FilmSupplyClub,https://www.youtube.com/channel/UC1TF5VhiFgWw0c61vnTA6Tw
phlearn,https://www.youtube.com/channel/UC47XN5bhLTBH5TRFyKaUpKg
HowardPinsky,https://www.youtube.com/channel/UC48fSJKMFBka3Zl0u7DGf0A
photoshoptutorials8559,https://www.youtube.com/channel/UCRv33-aa67mPcDWF2jocHSg
educativemethun6185,https://www.youtube.com/channel/UC7m-McwPdrga16JPLe9WOOA
ThePhlogPhotography,https://www.youtube.com/channel/UCeos-Ju_sSs7Wb7FR-2VcQA
mrdesigner35,https://www.youtube.com/channel/UCfx0U8dps132T5f_wNZCIhg
rajbanik_official,https://www.youtube.com/channel/UCIdAwPkHjvFrUqRGcyUOtOg
CreativeStudioByMim,https://www.youtube.com/channel/UCjz43T7xkSVd-it9G8TZmAQ
learnfromfiverr877,https://www.youtube.com/channel/UCu6axJUOJhG2KBF_XkLkXmA
TodaysCreatorPod,https://www.youtube.com/channel/UCSmLc0fzZsZLoTe5il99hcw
PhotoConversations,https://www.youtube.com/channel/UCXga3OFVs5BG0uSTrYDMzmw
Photo_Chat,https://www.youtube.com/channel/UCT45JkhVrYnZQ9ikABlYMuA
daxiangphototalks,https://www.youtube.com/channel/UC8_UxKC6fCcz1_JnHQ0sa6A
kindafool8515,https://www.youtube.com/channel/UC9JMncB0oqIyQYGrb6Q7rLA
octavotrim,https://www.youtube.com/channel/UCLBbKi6WQGXWEvDycLS47yA
PHLEARN.TELUGU,https://www.youtube.com/channel/UCGdNnqdUfngXgrEPHjXNrnA
phlearneasycreative37,https://www.youtube.com/channel/UCyHZWgBBOeqBtO1eTpTQDGw
phlearn2269,https://www.youtube.com/channel/UCe6B38ERPNX8AGTiQHVRWEw
creativealbumsdesign7455,https://www.youtube.com/channel/UC5isCiDyU44fEGcUiBVO79g
rehmanieditz4309,https://www.youtube.com/channel/UCzPMi9PLH_O4leD6D3rQaOQ
speedtutoz943,https://www.youtube.com/channel/UCcd3LJ9e6nQV-UYQZ5eaixQ
fixn.frame_,https://www.youtube.com/channel/UCoh70dA-xypQ9p2TbuUExqg
creativealbumsdesign3581,https://www.youtube.com/channel/UCsJse3c0iFzYTzXjLnN928Q
graphicdesign8630,https://www.youtube.com/channel/UC3_LLapQaxGP10OXP7UWAdw
blueprimes101,https://www.youtube.com/channel/UCSiQRKazXQjHMh17QDL-sgA
PhotographyEducators,https://www.youtube.com/channel/UCehHoZ2932g_6Nst9JNHZNg
VisualEducationStudio,https://www.youtube.com/channel/UCZajtzLoD3nxn2G9ripCjPg
rapeducationphotography,https://www.youtube.com/channel/UCviR1VkToYZPgAc9QshZyuA
photographyeducation,https://www.youtube.com/channel/UCGhCT9WOlBuJBE1YeqsXBOg
theschoolofphotography,https://www.youtube.com/channel/UCdkflGXVy2R_z8JT9kR_oEA
photographyeducation5869,https://www.youtube.com/channel/UCst0HBOOMX3Nj3MtNlCLcuw
GPPE-GavriellaPetPhotographyEd,https://www.youtube.com/channel/UCsKzkTAG_jsgI1ScbMO34yA
UnleashedEducation,https://www.youtube.com/channel/UCreAg97ComjnMD0OmwrXv0A
NitishNayak-7782,https://www.youtube.com/channel/UCp53eFPj4y4sBgWtfi4vHEA
code17hairdressingphotogra46,https://www.youtube.com/channel/UCFcXclCWlFvFGoIUx8rBTdg
BarbarichPhoto,https://www.youtube.com/channel/UCHlJH23YySXFTTIdwpn-fig
